正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
之裁判上一罪,12,,之裁判上一罪
透過網路方式非法販賣侵害商標權之商品罪,12,,後段之透過網路方式非法販賣侵害商標權之商品罪 | 透過網路方式非法販賣侵害商標權之商品罪 | 商標法第九十七條之透過網路方式非法販賣侵害商標權之商品罪
前二條之罪,12,,前二條之罪
意圖供行使之用而攜帶兇器在公共場所聚集三人以上下手實施強暴罪,12,,意圖供行使之用而攜帶兇器在公共場所聚集三人以上下手實施強暴罪
罪心態與一般刑事犯罪,12,是,罪心態與一般刑事犯罪
行獲有犯罪,12,,行獲有犯罪
中之輕罪,12,,中之輕罪
罪預備之物或犯罪,12,是,罪預備之物或犯罪
非法由自動付款設備取財罪,12,,非法由自動付款設備取財罪 | 非法由自動付款設備取財未遂罪 | 非法由自動付款設備取財罪及洗錢防制法第14條第1項之一般洗錢罪
如附表所示之各罪,12,是,如附表所示之各罪
：共同實行犯罪,11,,：共同實行犯罪
乘機猥褻罪,11,,乘機猥褻罪
在公眾得出入之場所聚集三人以上下手實施強暴罪,11,,後段之在公眾得出入之場所聚集三人以上下手實施強暴罪 | 在公眾得出入之場所聚集三人以上下手實施強暴罪 | 後段之在公眾得出入之場所聚集三人以上下手實施強暴罪及刑法第305條之恐嚇危害安全罪
第l項之一般洗錢罪,11,,第l項之一般洗錢罪 | 第l項之詐欺取財罪及違反洗錢防制法第14條第l項之一般洗錢罪 | 第l項之詐欺取財罪及洗錢防制法第14條第l項之一般洗錢罪
逃漏稅捐罪,11,,幫助逃漏稅捐罪 | 幫助犯幫助逃漏稅捐罪 | 填製不實罪及修正前稅捐稽徵法第43條第1項之幫助逃漏稅捐罪
以不正方法由自動付款設備取得他人之物罪,11,,以不正方法由自動付款設備取得他人之物罪
罪所得欄所示之犯罪,11,是,罪所得欄所示之犯罪
上開2罪,11,,上開2罪
詐欺罪,11,,詐欺罪 | 填製不實會計憑證及刑法第339條第1項之詐欺罪 | 同法第339條詐欺罪
（洗錢防制法）前四條之罪,11,,（洗錢防制法）前四條之罪
輸入禁藥罪,10,,藥事法第八十二條第一項之輸入禁藥罪 | 輸入禁藥罪 | 輸入禁藥罪及同法第83條第1項之販賣禁藥罪
駕駛動力交通工具而吐氣所含酒精濃度達每公升0.25毫克以上罪,10,,駕駛動力交通工具而吐氣所含酒精濃度達每公升0.25毫克以上罪 | 刑法第185條之3第1項第1款駕駛動力交通工具而吐氣所含酒精濃度達每公升0.25毫克以上罪
如附表二所示各罪,10,是,如附表二所示各罪
誣告罪,10,,誣告罪 | 誣告罪及違反家庭暴力防治法第61條第1款之違反保護令罪
、第一項之洗錢罪,10,,洗錢防制法第十四條第二項、第一項之洗錢未遂罪 | 修正前洗錢防制法第十四條第二項、第一項之洗錢未遂罪 | 洗錢防制法第十九條第二項、第一項之洗錢未遂罪
利用不正當方法致使財務報表發生不實結果罪,10,,利用不正當方法致使財務報表發生不實結果罪 | 利用不正當方法致使財務報表發生不實結果罪及刑法第214條之使公務員登載不實罪 | 利用不正當方法致使財務報表發生不實結果罪及刑法第339條第1項之詐欺取財罪
非法持有子彈罪,10,,非法持有子彈罪 | 非法持有非制式手槍罪及同條例第12條第4項之非法持有子彈罪
3人以上共犯詐欺取財罪,10,,刑法第339條之4第1項第2款之3人以上共犯詐欺取財罪 | 3人以上共犯詐欺取財罪 | 歸定從一重論以刑法第339條之4第1項第2款之3人以上共犯詐欺取財罪
家庭暴力罪,10,,家庭暴力罪
無故侵入他人建築物罪,10,,無故侵入他人建築物罪 | 毀損他人物品罪及同法第306條第1項之無故侵入他人建築物罪 | 毀壞安全設備竊盜罪及同法第306條第1項之無故侵入他人建築物罪
（一般）洗錢罪,10,,幫助犯（一般）洗錢罪 | 詐欺取財罪及修正前洗錢防制法第14條第1項之（一般）洗錢罪 | 幫助（一般）洗錢罪
罪之罪,10,是,罪之罪
第l項後段之參與犯罪組織罪,9,,第l項後段之參與犯罪組織罪
非法經營證券業務罪,9,,幫助非法經營證券業務罪 | 證券交易法第一百七十五條第一項之非法經營證券業務罪 | 非法經營證券業務罪
第l項之詐欺取財罪,9,,第l項之詐欺取財罪及違反洗錢防制法第14條第l項之一般洗錢罪 | 第l項之詐欺取財罪及洗錢防制法第14條第l項之一般洗錢罪 | 刑法第339條第l項之詐欺取財罪
對於14歲以上未滿16歲之女子為性交罪,9,,對於14歲以上未滿16歲之女子為性交罪 | 製造少年為猥褻行為之電子訊號罪及刑法第227條第3項對於14歲以上未滿16歲之女子為性交罪
如附表「罪,9,是,如附表「罪
性侵害犯罪,9,,性侵害犯罪
未指定犯人誣告罪,9,,未指定犯人誣告罪
內線交易罪,9,,證券交易法第一百七十一條第一項第一款之內線交易罪 | 內線交易罪
透過網路方式販賣侵害商標權之商品罪,9,,後段之透過網路方式販賣侵害商標權之商品罪 | 商標法第九十七條之透過網路方式販賣侵害商標權之商品罪 | 商標法第九十七條後段之透過網路方式販賣侵害商標權之商品罪
加重詐欺罪,9,,加重詐欺罪
罪組織違反組織犯罪,9,是,罪組織違反組織犯罪
第l項本文後段之參與犯罪組織罪,9,,第l項本文後段之參與犯罪組織罪
三人以上共同以網際網路對公眾散布而犯詐欺取財罪,9,,三人以上共同以網際網路對公眾散布而犯詐欺取財罪 | 三人以上共同以網際網路對公眾散布而犯詐欺取財未遂罪 | 三人以上共同以網際網路對公眾散布而犯詐欺取財罪及洗錢防制法第19條第1項後段之一般洗錢罪
非法營業罪,9,,電子遊戲場業管理條例第二十二條之非法營業罪 | 非法營業罪 | 規定而犯同條例第22條之非法營業罪及刑法第266條第1項之賭博罪
三人以上共犯詐欺取財罪,9,,本件刑法第339條之4第1項第2款之三人以上共犯詐欺取財罪 | 刑法第339條之4第1項第2款之三人以上共犯詐欺取財罪 | 三人以上共犯詐欺取財罪
損壞公務員職務上掌管之物品罪,8,,損壞公務員職務上掌管之物品罪 | 刑法第138條之損壞公務員職務上掌管之物品罪
妨害醫事人員執行醫療業務罪,8,,妨害醫事人員執行醫療業務罪 | 公然侮辱罪及醫療法第106條第3項之妨害醫事人員執行醫療業務罪 | 醫療法第一百零六條第三項之妨害醫事人員執行醫療業務罪
附表編號1至3「罪,8,是,附表編號1至3「罪
恐嚇公眾罪,8,,恐嚇公眾罪
行使變造特種文書罪,8,,行使變造特種文書罪
持有第二級毒品純質淨重二十公克以上罪,8,,持有第二級毒品純質淨重二十公克以上罪
意圖販賣而持有第二級毒品罪,8,,意圖販賣而持有第二級毒品罪
