正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
罪所得即現金新臺幣捌萬貳仟伍佰元、林義順未扣案之犯罪,1,是,罪所得即現金新臺幣捌萬貳仟伍佰元、林義順未扣案之犯罪
行屬偶發、初次犯罪,1,,行屬偶發、初次犯罪
如附表一編號1至5所示之伍罪,1,是,如附表一編號1至5所示之伍罪
第320條第1項之竊盜罪,1,,業務侵占罪及第320條第1項之竊盜罪
無正當理由逃避檢查罪,1,,無正當理由逃避檢查罪
逃避檢查罪,1,,國家安全法第十四條之逃避檢查罪
無故侵入建築物罪,1,,無故侵入建築物罪
行使偽造私文書罪,1,,行使偽造私文書罪
公然賭博罪,1,,公然賭博罪
非法輸入禁止輸入之應施檢疫物罪,1,,非法輸入禁止輸入之應施檢疫物罪
非法輸入應施檢疫物罪,1,,動物傳染病防治條例第四十一條第一項之非法輸入應施檢疫物罪
失火燒燬住宅等以外之物罪,1,,失火燒燬住宅等以外之物罪
成年人故意對兒童犯強制罪,1,,前段及刑法第304條第1項之成年人故意對兒童犯強制罪
性侵害犯罪加害人屆期不履行身心治療或輔導教育罪罪,1,,性侵害犯罪加害人屆期不履行身心治療或輔導教育罪罪
行之犯後態度、素行（卷附臺灣高等法院被告前案紀錄表）、犯罪,1,,行之犯後態度、素行（卷附臺灣高等法院被告前案紀錄表）、犯罪
罪前案紀錄、被告吳勵端無犯罪,1,是,罪前案紀錄、被告吳勵端無犯罪
後態度、犯罪,1,,後態度、犯罪
罪經法院判處罪,1,是,罪經法院判處罪
無正當理由交付、提供金融帳戶合計三個以上予他人使用罪,1,,洗錢防制法第十五條之二第三項第二款之無正當理由交付、提供金融帳戶合計三個以上予他人使用罪
條第3項前段之不能安全駕駛動力交通工具致人於死罪,1,,條第3項前段之不能安全駕駛動力交通工具致人於死罪
不能安全駕駛動力交通工具因而致人於死罪,1,,刑法第一百八十五條之三第三項前段之不能安全駕駛動力交通工具因而致人於死罪
透過網路方式陳列侵害商標權之商品罪,1,,商標法第九十七條之透過網路方式陳列侵害商標權之商品罪
圖利容留、媒介猥褻罪,1,,圖利容留、媒介猥褻罪
本案與上②前案之犯罪,1,是,本案與上②前案之犯罪
強制等罪,1,,恐嚇危害安全及同法第304條之強制等罪
如附表一編號1至24所示各罪,1,是,如附表一編號1至24所示各罪
攜帶兇器毀越窗戶竊盜罪,1,,攜帶兇器毀越窗戶竊盜罪
服用毒品致不能安全駕駛動力交通工具之罪,1,,服用毒品致不能安全駕駛動力交通工具之罪
罪所得新臺幣陸仟元及供犯罪,1,是,罪所得新臺幣陸仟元及供犯罪
三人以上與少年共同冒用公務員名義詐欺取財罪,1,,三人以上與少年共同冒用公務員名義詐欺取財罪
違法蒐集個人資料罪,1,,違法蒐集個人資料罪
三幫助詐欺取財罪,1,,三幫助詐欺取財罪
法條欄贅載幫助洗錢罪,1,,法條欄贅載幫助洗錢罪
罪之意思而參與犯罪,1,是,罪之意思而參與犯罪
侵入住宅竊盜罪,1,,侵入住宅竊盜罪
無正當理由以詐術收集他人金融帳戶罪,1,,無正當理由以詐術收集他人金融帳戶罪
無正當理由而以詐術收集他人之金融帳戶罪,1,,洗錢防制法第15條之1第1項第5款之無正當理由而以詐術收集他人之金融帳戶罪
利用不正方法致會計事項發生不實結果罪,1,,利用不正方法致會計事項發生不實結果罪及刑法第214條之使公務員登載不實罪
中段應收股款於登記後發還股東罪,1,,中段應收股款於登記後發還股東罪
利用不正方法致使會計事項發生不實結果罪,1,,利用不正方法致使會計事項發生不實結果罪
罪事實、論罪,1,是,罪事實、論罪
踰越安全設備之加重竊盜罪,1,,刑法第321條第1項第2款之踰越安全設備之加重竊盜罪
同條項之踰越門窗竊盜罪,1,,同條項之踰越門窗竊盜罪
雖同為施用第一級、第二級毒品罪,1,,雖同為施用第一級、第二級毒品罪
詐欺取財及掩飾、隱匿特定犯罪,1,,詐欺取財及掩飾、隱匿特定犯罪
上開犯行具有想像競合犯之裁判上一罪,1,,上開犯行具有想像競合犯之裁判上一罪
行相互分工以遂行整體詐欺取財、行使偽造私文書、行使偽造特種文書罪,1,,行相互分工以遂行整體詐欺取財、行使偽造私文書、行使偽造特種文書罪
罪所得部分：（四）犯罪,1,是,罪所得部分：（四）犯罪
罪所得金額欄」所示姚道進、張卉蓁、陳淑惠、陳富美之犯罪,1,是,罪所得金額欄」所示姚道進、張卉蓁、陳淑惠、陳富美之犯罪
會計師對不實財務報告未予敘明罪,1,,證券交易法第一百七十四條第二項第二款之會計師對不實財務報告未予敘明罪
結夥三人以上毀越門窗竊盜罪,1,,結夥三人以上毀越門窗竊盜罪
侵占持本人持有物罪,1,,侵占持本人持有物罪
罪所得新臺幣貳仟元、謝致錡之犯罪,1,是,罪所得新臺幣貳仟元、謝致錡之犯罪
非法清除、處理廢棄物罪,1,,廢棄物清理法第四十六條第四款前段之非法清除、處理廢棄物罪
罪所得」欄所示之財產上利益及犯罪,1,是,罪所得」欄所示之財產上利益及犯罪
如附表一編號一至七所示之柒罪,1,是,如附表一編號一至七所示之柒罪
罪紀錄之素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪,1,是,罪紀錄之素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪
罪預備之物、犯罪,1,是,罪預備之物、犯罪
無律師證書意圖營利辦理訴訟事件罪,1,,無律師證書意圖營利辦理訴訟事件罪
之犯行均為施用毒品犯罪,1,,之犯行均為施用毒品犯罪
罪所得新臺幣捌佰元、如附表編號1、2「犯罪,1,是,罪所得新臺幣捌佰元、如附表編號1、2「犯罪
攜帶兇器毀越門窗竊盜罪,1,,攜帶兇器毀越門窗竊盜罪
持有刀械罪,1,,持有刀械罪
罪事實：1、第1至3行：鄭宇浩於民國109年間參與詐欺集團（所涉犯參與犯罪,1,是,罪事實：1、第1至3行：鄭宇浩於民國109年間參與詐欺集團（所涉犯參與犯罪
1項之洗錢罪,1,,詐欺取財罪及洗錢防制法第14條1項之洗錢罪
案件與本案罪,1,,案件與本案罪
汽車駕駛人行經行人穿越道不依規定讓行人優先通行之過失傷害罪,1,,汽車駕駛人行經行人穿越道不依規定讓行人優先通行之過失傷害罪
對依法執行職務公務員施強暴行為罪,1,,對依法執行職務公務員施強暴行為罪及同法第277條第1項之傷害罪
引誘使少年自行拍攝性影像罪,1,,引誘使少年自行拍攝性影像罪
罪事實及理由一、審判範圍：按關於「犯罪,1,是,罪事實及理由一、審判範圍：按關於「犯罪
三人以上共犯加重詐欺取財罪,1,,刑法第339條之4第1項第2款之三人以上共犯加重詐欺取財罪
罪之犯罪,1,是,罪之犯罪
行均犯一般洗錢罪,1,,行均犯一般洗錢罪
行所參與程度、犯罪,1,,行所參與程度、犯罪
公務員不違背職務收受賄賂罪,1,,公務員不違背職務收受賄賂罪
持有第三級毒品純質淨重五公克以上等罪,1,,持有第三級毒品純質淨重五公克以上等罪
妨害秘密罪,1,,妨害秘密罪
無故開拆他人封緘信函罪,1,,前段之無故開拆他人封緘信函罪
無故開拆他人郵件罪,1,,無故開拆他人郵件罪
規定之違反意願拍攝性交猥褻影像罪,1,,規定之違反意願拍攝性交猥褻影像罪
罪前科之素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪,1,是,罪前科之素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪
公然冒用公務員服飾、徽章及官銜罪,1,,公然冒用公務員服飾、徽章及官銜罪
本案施用第一級、第二級毒品罪,1,,本案施用第一級、第二級毒品罪
、第2項之施用第一級毒品罪,1,,毒品危害防制條例第10條第1項、第2項之施用第一級毒品罪
夜間於公共場所非法攜帶刀械罪,1,,夜間於公共場所非法攜帶刀械罪
及第4款之違反保護令罪,1,,及第4款之違反保護令罪
如附表四編號1至45主文欄所示之肆拾伍罪,1,是,如附表四編號1至45主文欄所示之肆拾伍罪
踰越門扇侵入住宅竊盜罪,1,,踰越門扇侵入住宅竊盜罪
以網際網路之方法賭博財物罪,1,,以網際網路之方法賭博財物罪
（起訴書誤載為第2項）之公然侮辱罪,1,,毀損他人物品罪及同法第309條第1項（起訴書誤載為第2項）之公然侮辱罪
非法以電腦相關設備製作財產權之得喪變更紀錄取財罪,1,,非法以電腦相關設備製作財產權之得喪變更紀錄取財罪
湮滅刑事證據罪,1,,湮滅刑事證據罪
如附表一編號1至7所示各罪,1,是,如附表一編號1至7所示各罪
第2巷詐欺得利罪,1,,第2巷詐欺得利罪
規定論以未經登記擅自經營電子遊戲場業罪,1,,規定論以未經登記擅自經營電子遊戲場業罪
三人以上共同詐欺取財及得利罪,1,,三人以上共同詐欺取財及得利罪
如本判決附表「主文」欄所示之罪,1,是,如本判決附表「主文」欄所示之罪
放火燒燬住宅以外他人所有物罪,1,,放火燒燬住宅以外他人所有物罪
放火燒燬住宅、建築物以外他人所有物致生公共危險罪,1,,放火燒燬住宅、建築物以外他人所有物致生公共危險罪
踰越安全設備侵入住宅竊盜罪,1,,踰越安全設備侵入住宅竊盜罪
逾越安全設備竊盜罪,1,,逾越安全設備竊盜罪
在公眾得出入之場所聚集三人以上下手實施強暴脅迫罪,1,,在公眾得出入之場所聚集三人以上下手實施強暴脅迫罪
放火燒燬住宅、建築物以外之自己所有物致生公共危險罪,1,,放火燒燬住宅、建築物以外之自己所有物致生公共危險罪
未經許可持有可發射子彈具有殺傷力之槍枝罪,1,,未經許可持有可發射子彈具有殺傷力之槍枝罪
罪組織之犯罪,1,是,罪組織之犯罪
罪事實之理由與依據：㈠上開犯罪,1,是,罪事實之理由與依據：㈠上開犯罪
罪事實欄未載對應之一般洗錢犯罪,1,是,罪事實欄未載對應之一般洗錢犯罪
罪時甫滿19歲、及其素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪,1,是,罪時甫滿19歲、及其素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪
或數罪,1,,或數罪
汽車駕駛人駕駛執照經註銷駕車、行近行人穿越道不依規定讓行人優先通行過失傷害罪,1,,汽車駕駛人駕駛執照經註銷駕車、行近行人穿越道不依規定讓行人優先通行過失傷害罪
罪事實及證據名稱一、本件犯罪,1,是,罪事實及證據名稱一、本件犯罪
行雖有犯罪,1,,行雖有犯罪
航空站竊盜罪,1,,航空站竊盜罪
侵占離本人所有之物罪,1,,侵占離本人所有之物罪
洗錢罪等罪,1,,洗錢罪等罪
如附表一編號1至9所示之玖罪,1,是,如附表一編號1至9所示之玖罪
修正前竊盜罪,1,,修正前竊盜罪
役齡男子意圖避免徵兵處理罪,1,,役齡男子意圖避免徵兵處理罪
如附表編號1至3「主文欄」所示之參罪,1,是,如附表編號1至3「主文欄」所示之參罪
詐欺得取財罪,1,,詐欺得取財罪
如附表一編號1至4主文欄所示之肆罪,1,是,如附表一編號1至4主文欄所示之肆罪
以詐術使開標發生不正確結果罪,1,,以詐術使開標發生不正確結果罪
非法招攬保險業務罪,1,,保險法第一百六十七條之一第一項前段之非法招攬保險業務罪
的非法銷售境外基金罪,1,,證券投資信託及顧問法第一百零七條第二款的非法銷售境外基金罪
非法輸入檢疫物罪,1,,動物傳染病防治條例第四十一條第一項之非法輸入檢疫物罪
支3人以上共犯詐欺取財等罪,1,,支3人以上共犯詐欺取財等罪
三人以上冒用公務員名義共同詐欺取財罪,1,,三人以上冒用公務員名義共同詐欺取財未遂罪
散布文字、圖畫誹謗罪,1,,散布文字、圖畫誹謗罪
、第三項之以妨害投標罪,1,,政府採購法第八十七條第六項、第三項之以妨害投標未遂罪
洗錢財物或財產上利益未達新臺幣（下同）1億元之一般洗錢罪,1,,三人以上共同詐欺取財罪及洗錢防制法第19條第1項後段之洗錢財物或財產上利益未達新臺幣（下同）1億元之一般洗錢罪
無正當理由交付、提供合計三個以上金融帳戶予他人使用罪,1,,無正當理由交付、提供合計三個以上金融帳戶予他人使用罪
運輸與製造第二級毒品罪,1,,運輸與製造第二級毒品罪
的加重強制性交罪,1,,的加重強制性交罪
對未滿14歲女子強制性交罪,1,,對未滿14歲女子強制性交罪
對於未滿14歲女子為性交罪,1,,對於未滿14歲女子為性交罪
對於未滿14歲女子為猥褻行為罪,1,,對於未滿14歲女子為猥褻行為罪
如附表一至八所示三人以上共同詐欺取財罪,1,是,如附表一至八所示三人以上共同詐欺取財罪
如附表一至附表十一所示販賣第一級毒品罪,1,是,如附表一至附表十一所示販賣第一級毒品罪
如附表十二、十三所示轉讓第一級毒品罪,1,是,如附表十二、十三所示轉讓第一級毒品罪
結夥三人以上攜帶兇器搶奪罪,1,,結夥三人以上攜帶兇器搶奪罪
三人以上共同犯詐欺取財及得利罪,1,,三人以上共同犯詐欺取財及得利罪
未經他人同意無故散布其性影像罪,1,,未經他人同意無故散布其性影像罪
詐欺銀行且因犯罪獲取之財物達新臺幣一億元以上罪,1,,詐欺銀行且因犯罪獲取之財物達新臺幣一億元以上罪
三人以上利用網路共同詐欺取財罪,1,,三人以上利用網路共同詐欺取財未遂罪
、第二款之無正當理由期約對價而交付合計三個以上帳戶罪,1,,洗錢防制法第二十二條第三項第一款、第二款之無正當理由期約對價而交付合計三個以上帳戶罪
